Name,Category,Education,Skills,Experience
Adriana Martin,Database,BE,"dbms, oracle, sql, mongodb",6.2
Sharon Warner,Data Scientist,MTECH,"statistics, data mining, python",4.3
Sean Knight,Operations Manager,MBA,"strategy, logistics, operations",10.4
Heather Franklin,Automation Testing,BE,"junit, automation, selenium, pytest, python",9.1
Robert Chandler,Business Analyst,BA,"sql, power bi, excel, requirement gathering, analytics",13.5
Alicia Miller,Engineer,BE,,14.8
Jeffrey Owens,DevOps,BE,"ansible, ci/cd, jenkins",0.7
Wendy Ortiz,Tableau Developer,BTECH,"tableau, bi tools, sql",1.9
Monica Ward,Automation Testing,BTECH,"python, automation, junit, selenium, pytest",10.5
Gwendolyn Miller MD,Web Designing,BTECH,"html, javascript, bootstrap, css, figma",13.2
Mrs. Sarah Walker,Web Designing,BSC,"html, figma, bootstrap, javascript, css",8.5
Pamela Graham,Blockchain,MTECH,"ethereum, smart contracts, web3.js, , solidity",11.7
Ashley Stone,Civil Engineer,BTECH,"autocad, staad pro, structural analysis",5.9
Sierra Dickerson,Python Developer,BTECH,"pandas, django, fastapi, python, flask",0.5
Gregory Spencer,Operations Manager,MBA,"supply chain, operations, logistics, team management, strategy",11.4
Daniel Williams,Python Developer,BE,"flask, pandas, python, django",7.8
Mary Williams,Operations Manager,BTECH,"strategy, operations, supply chain, team management, logistics",2.7
Courtney Moreno,Mechanical Engineer,BE,"cam, mechanics, autocad, solidworks, thermodynamics",3.8
Dominic Wolfe,SAP Developer,BTECH,"logistics, strategy, operations, supply chain, team management",10.9
Rebekah Schneider,Sales,MBA,"lead generation, , crm",0.9
Emily Jones,Electrical Engineer,BE,"vlsi, signal processing, matlab, electronics",5.1
John Allen,Health and fitness,BSC,"anatomy, yoga, fitness coaching",2.8
Jacqueline Hodges,PMO,MBA,"scrum, jira, agile, ms project, project management",4.6
David Thompson,Network Security Engineer,BE,"firewall, vpn, cybersecurity, networking",13.7
Lacey Roberts,DotNet Developer,BTECH,"mvc, asp.net, .net, entity framework, c#",11.0
Jeffrey Sims,DevOps,MTECH,"ci/cd, kubernetes, ansible, docker",11.4
Susan Mata,Blockchain,BA,"   , sociology, history, drawing",2.7
Jonathon Thomas,Data Scientist,PHD,"data mining, deep learning, ml",14.4
Jacob Harris,SAP Developer,MBA,"fiori, sap hana, sap",13.5
Stephanie Wright,ETL Developer,BE,"data warehousing, informatica, etl, sql",6.4
Jenna Molina,Java Developer,BTECH,"hibernate, microservices, spring, rest api, java",8.8
Gregory Williams,Network Security Engineer,BTECH,"kubernetes, ci/cd, jenkins, docker",9.6
Adam Parsons,Python Developer,MBA,"logistics, operations, team management",9.4
Rebecca Murray,Network Security Engineer,BE,"networking, cybersecurity, firewall, vpn",11.7
Susan Wolfe,PMO,MBA,"scrum, jira, project management, ms project",3.4
Maxwell Adams MD,Advocate,PHD,"legal research, drafting, law, contracts",4.8
Brad Reed II,Java Developer,MTECH,"rest api, microservices, spring, hibernate",9.7
Amanda Curry,Automation Testing,BE,"pytest, python, automation, junit",1.6
Joseph Simmons,Business Analyst,BE,"autocad, structural analysis, construction",11.2
Andrew Boyd,Database,BE,"sql, mongodb, dbms, oracle",5.4
James Long,DevOps,MTECH,"jenkins, ci/cd, kubernetes, docker, ansible",12.5
Nicholas Ross,Data Scientist,PHD,"ml, data mining, python",1.7
Stacy Fisher,DotNet Developer,BTECH,".net, c#, entity framework",9.4
Ronald Johnson,Web Designing,BTECH,"css, bootstrap, javascript, html, figma",7.6
Kathy Holden,Advocate,PHD,"contracts, legal research, drafting",13.5
Noah Harris,PMO,MBA,"ms project, scrum, project management, agile",12.8
Gabriel Miller,DotNet Developer,BTECH,"c#, mvc, entity framework, .net",14.0
Jim Brooks,Advocate,BA,"litigation, legal research, contracts",10.0
Monique Lyons,Advocate,PHD,"law, litigation, drafting, legal research, contracts",4.8
Joe Webb,DevOps,BTECH,"excel, power bi, requirement gathering, analytics, sql",12.2
Jennifer Nelson,Blockchain,BTECH,"solidity, web3.js, ",14.7
Betty Swanson,HR,BA,"employee relations, interviewing, ms excel, communication",10.2
Patty Warren,Engineer,BTECH,"matlab, c++, control systems, embedded systems, c",6.9
Kristen Curtis,Business Analyst,BTECH,"analytics, power bi, sql, excel, requirement gathering",8.5
Kimberly Hickman,Blockchain,BTECH,", ethereum, smart contracts",9.5
Alejandro Lambert,HR,BA,"interviewing, ms excel, employee relations",0.8
Jordan Hartman,Health and fitness,BSC,"fitness coaching, nutrition, yoga, training, anatomy",12.7
Jonathan Cunningham,Operations Manager,BTECH,"logistics, operations, strategy, supply chain",10.5
Gerald Harrison,Python Developer,MTECH,"fastapi, pandas, flask, django",14.0
Dr. Steven Harris,DevOps,BTECH,"jenkins, docker, ansible, kubernetes, ci/cd",15.0
Stephen Hill,Advocate,PHD,"contracts, legal research, litigation, drafting",9.2
Sharon Mccoy,Tableau Developer,MBA,"dashboards, bi tools, sql, tableau",6.5
Tonya Ward,Mechanical Engineer,BTECH,"autocad, solidworks, cam",8.0
Olivia Baker,Electrical Engineer,BE,"electronics, circuit design, signal processing, matlab",12.5
Shaun Nguyen,Business Analyst,BA,"requirement gathering, sql, analytics",4.0
Mrs. Stephanie Williams,ETL Developer,MTECH,"sql, ssrs, informatica, etl, data warehousing",7.9
Lisa Oliver,PMO,BTECH,"structural analysis, construction, staad pro",7.2
Andrew Baldwin,Blockchain,BTECH,"ethereum, solidity, smart contracts, , web3.js",11.7
Bryan Anderson,PMO,BE,"embedded systems, matlab, c",6.3
Nancy Gibbs,PMO,BE,"entity framework, mvc, .net",10.1
Megan Barron,Business Analyst,BA,"excel, power bi, sql",7.9
Mark Johnson,PMO,BTECH,"project management, scrum, jira, ms project, agile",5.9
Jessica Mcneil,Java Developer,BTECH,"vpn, firewall, security, networking, cybersecurity",11.3
Christopher Bailey DDS,PMO,MBA,"ms project, agile, jira, project management, scrum",4.6
Karen Glenn,Tableau Developer,MBA,"tableau, bi tools, dashboards, data visualization, sql",0.9
Rhonda Ponce,DotNet Developer,BTECH,"asp.net, mvc, .net, entity framework, c#",5.9
Laura Davenport,Electrical Engineer,BE,"circuit design, signal processing, vlsi, electronics, matlab",6.9
Nathaniel Ferguson,Electrical Engineer,BTECH,"matlab, signal processing, vlsi, circuit design",1.3
Joseph Morgan,ETL Developer,BE,"sql, ssrs, data warehousing",5.7
Donna Williams,Automation Testing,BE,"thermodynamics, autocad, solidworks, mechanics, cam",1.7
Ronald Stevenson,Java Developer,BTECH,"hibernate, spring, java, microservices, rest api",12.6
Amy Warren,Sales,MBA,"cold calling, , negotiation",14.8
Jennifer Blair,ETL Developer,MTECH,"data warehousing, etl, informatica, sql, ssrs",10.7
Christina Smith,Automation Testing,BE,"junit, pytest, selenium",11.5
Jennifer Ramirez,SAP Developer,BTECH,"fiori, sap hana, erp, sap",5.0
John Chang,SAP Developer,MBA,"sap, abap, sap hana, erp, fiori",12.3
Hunter Leach,Electrical Engineer,BE,"matlab, vlsi, electronics, signal processing",7.0
Melissa Nash,Data Scientist,MTECH,"statistics, python, data mining, ml, deep learning",10.2
James Beltran,Data Scientist,BTECH,"python, statistics, deep learning",13.1
Samantha Perkins,Business Analyst,MBA,"analytics, sql, requirement gathering, power bi",5.8
Michael Daniel,PMO,BTECH,"agile, ms project, jira",10.8
Joshua Richard,Civil Engineer,BTECH,"staad pro, autocad, construction",7.5
Jennifer Potts,Health and fitness,BA,"training, nutrition, yoga, anatomy",2.3
Todd Rodriguez,Tableau Developer,MBA,"data visualization, bi tools, tableau, sql, dashboards",3.6
Martin Woods,Engineer,BE,"c, matlab, control systems, c++",3.9
Melissa Keith,HR,BA,"interviewing, communication, ms excel",0.1
Amber Horton,Arts,BA,"drawing, history, sociology, sculpting",4.6
Zachary Dickerson,DotNet Developer,BTECH,"asp.net, mvc, .net, entity framework, c#",5.1
Holly Wilson,SAP Developer,BTECH,"sap hana, sap, fiori, erp",8.6
Joseph Bell,SAP Developer,MBA,"sap, abap, fiori, erp, sap hana",0.6
Tracy Preston,PMO,MBA,"scrum, ms project, agile, project management",10.0
Joseph Thomas,HR,BA,"drawing, sociology,    , history",3.8
Gregory Townsend,Advocate,PHD,"drafting, law, contracts, litigation, legal research",12.5
James Hodges,SAP Developer,MBA,"fiori, erp, sap hana",7.4
Michael Smith,HR,MBA,"interviewing, ms excel, communication, employee relations, recruitment",0.0
Samantha Goodwin,ETL Developer,BE,,2.0
David Andrade,Automation Testing,BTECH,"selenium, automation, python, pytest, junit",14.8
Charles Fox,Electrical Engineer,BE,"circuit design, vlsi, matlab, electronics, signal processing",2.0
Nathaniel Brown,Web Designing,BE,".net, entity framework, c#",10.5
Terry Rivera,DevOps,BE,"kubernetes, ci/cd, ansible, jenkins, docker",7.5
Sherry Parsons,Mechanical Engineer,BE,"autocad, solidworks, mechanics, cam",2.5
Charles Jensen,DotNet Developer,BTECH,"c#, asp.net, mvc",3.3
Ryan Hampton,Network Security Engineer,BTECH,"automation, junit, selenium, python",1.7
Alejandra Henry,Advocate,PHD,"contracts, litigation, law",12.8
Margaret Crane,Business Analyst,BA,"excel, power bi, analytics, requirement gathering",9.3
Amy Castillo,Data Scientist,MTECH,"ml, python, deep learning",14.8
Lori Hall,Automation Testing,BTECH,"python, pytest, junit, automation",2.5
Adam Davidson,Civil Engineer,BE,"staad pro, estimation, structural analysis, autocad, construction",1.0
Emily Davila,Database,BE,"dbms, mongodb, oracle, postgresql, sql",7.2
Teresa Sims,Sales,MBA,"crm, cold calling, lead generation, ",9.6
Erin Rhodes,Network Security Engineer,BE,"firewall, vpn, security, cybersecurity",0.2
Erin Bartlett,Hadoop,BE,"mapreduce, spark, pig, hive,  ",13.7
Michael Green,PMO,BTECH,"ms project, jira, agile",2.1
Angie Caldwell,DevOps,BTECH,"docker, ci/cd, ansible, kubernetes, jenkins",10.4
Jamie Rodgers,Civil Engineer,BE,"estimation, staad pro, construction, structural analysis",3.6
Christine Gonzales,Arts,BA,"sociology, sculpting,    ",0.4
Taylor Jones,HR,MBA,"ms excel, communication, interviewing",2.5
Christopher Obrien,SAP Developer,MBA,"erp, fiori, sap, abap, sap hana",12.0
Shelia Jones,Automation Testing,BE,"python, selenium, pytest, automation",13.7
James Munoz,Sales,MBA,"cold calling, lead generation, ",4.5
Richard Tran,Python Developer,MTECH,"python, fastapi, flask, pandas, django",0.4
Stephanie Hernandez,Java Developer,MTECH,"spring, hibernate, microservices, java, rest api",0.6
Anna Coleman,Python Developer,BTECH,"python, flask, fastapi",6.8
Kathleen Fox,PMO,MBA,"project management, jira, ms project",8.1
Ashley Marshall,Network Security Engineer,BE,"vpn, networking, security",4.3
Mary Carter,Mechanical Engineer,BTECH,"mechanics, cam, thermodynamics, autocad, solidworks",9.0
Tina White,DevOps,BTECH,"jenkins, ansible, ci/cd, docker",3.7
Elizabeth Garza,Data Scientist,MTECH,"statistics, data mining, deep learning, python",13.7
Howard Rodriguez,Operations Manager,MBA,"operations, supply chain, team management, strategy",13.0
Michael Ramirez,Electrical Engineer,BTECH,"vlsi, signal processing, matlab",6.8
Sandra Hernandez,Hadoop,BTECH,"hive, pig, spark",11.4
Hannah Johnson,Arts,BA,"psychology,    , history, sociology, painting",12.9
Laura Williams MD,Tableau Developer,BTECH,"dashboards, tableau, sql, data visualization, bi tools",5.8
David Castro,Electrical Engineer,BE,"electronics, signal processing, vlsi, circuit design",11.1
Cynthia Kane,HR,BA,"interviewing, ms excel, employee relations, communication, recruitment",4.7
Deborah Steele,Sales,MBA,"cold calling, , lead generation",5.2
Kenneth Anderson,DevOps,MTECH,"docker, jenkins, ci/cd, kubernetes, ansible",5.6
Joshua Marsh,PMO,BTECH,"jira, ms project, scrum, agile, project management",6.9
Charles Miller,PMO,MBA,"jira, ms project, scrum",9.9
Christine Moore,Hadoop,MTECH," , mapreduce, hive",5.9
Dr. Sophia Thomas MD,Tableau Developer,BA,"recruitment, interviewing, ms excel, communication",2.9
Mitchell Richardson,ETL Developer,BE,"informatica, ssrs, data warehousing",3.5
Cynthia Brooks DDS,DotNet Developer,BTECH,"asp.net, .net, c#",7.4
Scott Taylor,Engineer,BTECH,"matlab, embedded systems, c",13.5
Bradley Rhodes,DevOps,BE,"jenkins, kubernetes, docker, ci/cd",12.5
Tammy Anderson,,BTECH,"hibernate, rest api, spring, microservices",10.1
Brian Castillo,SAP Developer,BE,"thermodynamics, cam, solidworks, autocad",8.2
Emily Casey,Engineer,BTECH,"control systems, c, c++, matlab, embedded systems",12.2
Christopher Ramos,Engineer,BE,"matlab, c, control systems",8.7
Vanessa Thompson,PMO,MBA,"project management, ms project, scrum",7.7
Michael Harris,DotNet Developer,BTECH,"c#, .net, entity framework, asp.net",3.1
Austin Crawford,Automation Testing,BE,"junit, pytest, selenium",0.1
Barbara Blanchard,Automation Testing,BTECH,"automation, selenium, python, pytest, junit",3.3
Kim Stout,Business Analyst,BA,"excel, sql, power bi, requirement gathering, analytics",1.7
Jackie Russell,Mechanical Engineer,BTECH,"mechanics, cam, solidworks, autocad, thermodynamics",13.3
Pam Lynch,Database,MTECH,"postgresql, dbms, oracle",0.4
Julia Higgins,Health and fitness,BA,"fitness coaching, anatomy, yoga",11.9
Tina Smith,Engineer,BTECH,"embedded systems, matlab, control systems",12.6
Margaret Taylor,Web Designing,BA,"legal research, law, litigation",5.5
Gina Taylor,Data Scientist,MTECH,"data mining, statistics, python",4.9
Nicholas Flores,Automation Testing,BTECH,"python, automation, selenium, pytest",14.7
Tracy Dunn,ETL Developer,BTECH,"ssrs, informatica, etl",7.7
Diane Lowe,Hadoop,MTECH,"hive, spark, pig",1.6
Jose Smith,Hadoop,BE,"mapreduce,  , pig, spark, hive",8.4
Peter Bell,DevOps,MTECH,"ansible, ci/cd, jenkins, kubernetes, docker",9.9
William Hernandez,Network Security Engineer,BTECH,"cybersecurity, vpn, firewall",12.0
Debbie Gregory,PMO,BTECH,"scrum, jira, agile, ms project",10.9
Jose Maxwell,Advocate,PHD,"drafting, law, litigation, legal research, contracts",8.3
Jason Stone,DevOps,BTECH,"ci/cd, ansible, jenkins",3.9
James Wilson,Web Designing,BA,"css, figma, javascript, bootstrap",9.6
Leslie Ball,DevOps,BE,"kubernetes, jenkins, ci/cd, docker, ansible",4.4
Susan Frazier,Automation Testing,BE,"fastapi, python, pandas, flask",1.5
Kevin Sloan,Civil Engineer,BTECH,"structural analysis, construction, autocad",14.1
Sarah Reed,Electrical Engineer,BTECH,"vlsi, signal processing, matlab",7.5
Melissa Brown,Java Developer,MTECH,"java, hibernate, microservices",7.4
Phillip Wright,Tableau Developer,BTECH,"data visualization, sql, bi tools",1.0
Robert Perry,Tableau Developer,BTECH,"data visualization, bi tools, sql, tableau, dashboards",4.0
Jennifer Lawrence,PMO,BTECH,"agile, scrum, ms project, project management, jira",8.9
Lisa Vaughn,Tableau Developer,BTECH,"bi tools, tableau, data visualization",4.3
Raymond Jones,Python Developer,BE,"python, django, fastapi, flask, pandas",14.1
Ana Fowler,Health and fitness,BA,"training, yoga, fitness coaching",2.5
Matthew Jones,Engineer,BTECH,"matlab, embedded systems, c++, c, control systems",11.2
Andrew Smith,Health and fitness,BA,"yoga, nutrition, anatomy, fitness coaching",6.0
Nancy Abbott,Automation Testing,BE,"python, automation, selenium, pytest",3.3
Kathryn Nguyen,Python Developer,BTECH,"pandas, flask, python, fastapi, django",9.0
Debbie Powell,PMO,MBA,"jira, ms project, project management, scrum, agile",1.1
Kelsey Holt,DevOps,BE,"ci/cd, docker, kubernetes",7.5
Michael Hunter,PMO,MBA,"scrum, agile, project management, ms project, jira",10.7
Terry Chase,ETL Developer,BE,"informatica, ssrs, data warehousing",8.3
Carolyn Chapman,Arts,BA,"painting,    , psychology, history, drawing",13.8
Tyler Cook,Python Developer,MTECH,"pandas, django, fastapi",4.2
Harry Walker,DevOps,MTECH,"ansible, ci/cd, docker, jenkins",3.2
David Reynolds,Data Scientist,BTECH,"statistics, ml, python, data mining, deep learning",4.7
Nathan Holland,ETL Developer,BTECH,"ssrs, sql, informatica",12.4
Terry Jennings,Civil Engineer,BTECH,"structural analysis, estimation, construction, staad pro, autocad",4.5
Lisa Williams,Blockchain,MTECH,"ethereum, solidity, smart contracts, web3.js, ",2.8
Daniel Rice,Python Developer,MTECH,"fastapi, flask, django, pandas",9.5
Deborah Rowe,Mechanical Engineer,BTECH,"cam, solidworks, autocad, mechanics",4.2
Derek Gutierrez,PMO,BTECH,"agile, project management, scrum, jira, ms project",4.0
Vanessa Mayo,Business Analyst,BTECH,"excel, requirement gathering, analytics, sql",5.8
Richard Deleon,Mechanical Engineer,BTECH,"matlab, control systems, embedded systems, c++, c",6.0
Joshua Jordan,PMO,MBA,"agile, project management, scrum",5.5
Rachel Stephens,PMO,MBA,"jira, scrum, ms project, project management, agile",1.6
Dawn Williams,Network Security Engineer,BE,"vpn, networking, cybersecurity, firewall, security",2.3
Clifford Hopkins,Hadoop,BE,"hive, spark, pig, mapreduce,  ",3.6
William Keller,Engineer,BTECH,"c++, matlab, embedded systems, c, control systems",13.9
Ronald Bowen,ETL Developer,MTECH,"informatica, etl, sql, ssrs",14.0
Paul Davis,Engineer,BTECH,"c, embedded systems, control systems, matlab, c++",0.7
Thomas Miller,Mechanical Engineer,BTECH,"mechanics, autocad, solidworks, cam",8.7
Amanda Levine,Network Security Engineer,BA,"sql, requirement gathering, excel, analytics, power bi",13.2
Amy Taylor,Mechanical Engineer,BE,"ssrs, data warehousing, etl, informatica, sql",14.8
William Davis,Health and fitness,BA,"fitness coaching, nutrition, training, yoga, anatomy",14.7
Willie Lewis,PMO,BTECH,"project management, jira, ms project",6.5
Tanya Mccoy,DotNet Developer,BTECH,"mvc, entity framework, .net",2.0
Nicole Kelly,Data Scientist,PHD,"statistics, data mining, ml",3.7
Angel Merritt,Business Analyst,BTECH,"power bi, sql, requirement gathering, excel",11.6
Matthew Smith,Python Developer,BTECH,"pandas, flask, python, django",9.7
Emily Davidson,Engineer,BE,"c, matlab, control systems, c++, embedded systems",9.8
Dustin Barrett,Health and fitness,BA,"nutrition, yoga, training",14.8
Jeffrey Garcia,Data Scientist,MTECH,"ml, statistics, python, data mining, deep learning",11.1
Stuart Briggs,Python Developer,BE,"asp.net, .net, mvc, entity framework",6.3
Ethan Perez,ETL Developer,BE,"entity framework, .net, c#, mvc",11.0
Timothy Morrison,DotNet Developer,BE,"mvc, asp.net, entity framework, c#",2.3
Jennifer Harris,Electrical Engineer,BE,,10.3
Abigail Armstrong,Civil Engineer,BTECH,,7.9
Amanda Carter,Web Designing,BA,"javascript, bootstrap, css, figma",7.2
Ariana Garcia,Business Analyst,BA,"requirement gathering, excel, sql",14.4
Christopher Klein,Health and fitness,PHD,"law, litigation, contracts",12.8
Derrick Rice,Database,MTECH,"oracle, mongodb, dbms",0.1
Matthew Gregory,SAP Developer,BTECH,"erp, fiori, abap, sap hana, sap",1.8
Ethan Ford,PMO,BTECH,"project management, jira, scrum",2.3
Laura Hodges,Sales,MBA,"lead generation, negotiation, cold calling",3.7
Rachel Rodriguez MD,Java Developer,BE,"hibernate, microservices, spring, java, rest api",1.6
Willie Butler,Network Security Engineer,BE,"cybersecurity, firewall, vpn",12.0
Kathryn Gonzalez,PMO,MBA,"project management, jira, agile, scrum",0.1
Amber Norris,Java Developer,MTECH,"microservices, spring, java",14.0
Robin James,Java Developer,BTECH,"hibernate, java, rest api",3.0
Brandon Holden,SAP Developer,MBA,"sap hana, sap, abap, erp, fiori",8.2
Jessica Knight,Business Analyst,BA,"sql, requirement gathering, power bi, analytics",7.4
Timothy Rogers,Tableau Developer,BA,"law, contracts, legal research",14.6
Tammy Collins,Data Scientist,MTECH,"python, statistics, deep learning, data mining, ml",3.5
Nancy Baker,Advocate,PHD,"litigation, contracts, legal research, drafting",1.6
Christina Williams,Business Analyst,BTECH,"power bi, sql, excel, analytics, requirement gathering",14.8
Megan Kim,Electrical Engineer,BE,"circuit design, vlsi, matlab, electronics, signal processing",5.0
Frank Roman,HR,BA,"employee relations, communication, ms excel, recruitment",12.1
Michelle Daniel,Tableau Developer,MBA,"dashboards, sql, data visualization, bi tools",14.5
Carolyn Landry,Java Developer,MTECH,"microservices, rest api, java",10.9
Ashley Bird,Health and fitness,BA,"training, nutrition, yoga, fitness coaching",0.2
Alan Jackson,Network Security Engineer,BE,"security, firewall, vpn, cybersecurity, networking",3.0
Jennifer Curry,Sales,BA,", lead generation, crm, negotiation",4.4
Laura Collins,Java Developer,BTECH,"hibernate, rest api, microservices, spring",11.2
Candace Smith,Hadoop,BE,"mapreduce, hive, spark,  , pig",9.6
Kristen Cole,Health and fitness,BA,"training, fitness coaching, anatomy",12.7
Paul Herrera,HR,BA,"interviewing, employee relations, communication",1.6
Kayla Harris DVM,Engineer,BTECH,"embedded systems, matlab, control systems, c, c++",11.0
Isabel Johnson,Automation Testing,BE,"junit, pytest, selenium, python",2.9
Richard Vasquez,DevOps,MTECH,"docker, jenkins, ansible, ci/cd, kubernetes",8.8
Megan Valdez,SAP Developer,MBA,"erp, sap hana, abap",14.9
Brandon Maxwell,DotNet Developer,BTECH,"entity framework, .net, c#, asp.net, mvc",11.1
Benjamin Owen,Python Developer,MTECH,"flask, fastapi, django, pandas, python",0.4
Brian Evans,ETL Developer,MTECH,"data warehousing, etl, informatica, ssrs, sql",0.8
David Barr,Tableau Developer,BTECH,"tableau, sql, data visualization",1.2
David Williams,Engineer,BE,"control systems, embedded systems, c, matlab, c++",11.4
Samuel May IV,Data Scientist,PHD,"ml, python, deep learning",7.7
Laura Taylor,Web Designing,BTECH,"css, bootstrap, figma, html",2.2
Megan Garcia,Tableau Developer,BTECH,"bi tools, tableau, dashboards",13.6
Annette Dunn,Business Analyst,BA,"power bi, sql, excel, requirement gathering",11.9
Jason Hernandez,Electrical Engineer,BTECH,"circuit design, vlsi, electronics",13.6
Joshua Rogers,Electrical Engineer,BE,"signal processing, vlsi, circuit design, electronics, matlab",9.3
Jesse Clark,Network Security Engineer,BE,"security, networking, firewall",1.9
Amy Jackson,Business Analyst,BTECH,"excel, requirement gathering, sql, power bi, analytics",9.6
Francisco Cunningham,Operations Manager,BTECH,"operations, team management, logistics, strategy, supply chain",12.5
Ricky Gonzalez,Hadoop,BE," , spark, pig, mapreduce, hive",14.2
Tony Mayo,Business Analyst,BA,"power bi, analytics, excel, sql",15.0
Sherry Bell,Web Designing,BA,"bootstrap, css, html, figma",4.7
Ryan Lyons,DotNet Developer,BTECH,".net, entity framework, asp.net, c#",6.1
Gabrielle Walker,Advocate,PHD,"drafting, litigation, legal research, law",9.6
Danielle Fletcher,ETL Developer,MTECH,"sql, etl, ssrs",3.2
Rachel Hughes,Health and fitness,BSC,"nutrition, anatomy, fitness coaching",3.8
Derek Lyons,Business Analyst,BTECH,"sql, power bi, excel, requirement gathering",3.7
Joseph Price,Python Developer,BTECH,"pandas, flask, fastapi, python",3.4
Alex Williams,ETL Developer,BE,"data warehousing, etl, sql",1.4
Katherine Hamilton,Mechanical Engineer,BTECH,"solidworks, autocad, mechanics, cam, thermodynamics",6.9
Sheri Montgomery,Mechanical Engineer,BE,"thermodynamics, solidworks, autocad, mechanics",9.7
Mallory Morrow,SAP Developer,MBA,"abap, erp, sap, fiori, sap hana",11.4
Casey Moyer,Data Scientist,BTECH,"python, data mining, deep learning, statistics",4.3
Vanessa Bailey,HR,BA,"employee relations, recruitment, interviewing, ms excel, communication",1.5
Dennis May,Mechanical Engineer,BTECH,"autocad, solidworks, thermodynamics",5.5
Carla Roth,Advocate,PHD,"drafting, law, litigation, legal research",4.4
Kathleen Stevens,ETL Developer,BTECH,"etl, ssrs, informatica, sql, data warehousing",0.3
Lauren Ferguson,Data Scientist,BTECH,"deep learning, ml, python, statistics, data mining",14.1
Shawn Robertson,Advocate,BTECH,"sql, power bi, requirement gathering",7.9
Michelle Reeves,Engineer,BTECH,"control systems, c++, embedded systems",12.2
Jasmine Knight,Health and fitness,BSC,"yoga, fitness coaching, anatomy",2.9
Melvin Walker,Arts,BA,"sociology, sculpting, painting, psychology",5.0
Melissa Holmes,Civil Engineer,BE,"staad pro, autocad, structural analysis, estimation",14.1
Christopher Garcia,Hadoop,BTECH,"spark, hive,  ",7.2
Abigail Neal,Automation Testing,BTECH,"pytest, python, automation, junit",7.7
Christopher Vang,Blockchain,MTECH,"web3.js, ethereum, solidity, ",14.8
Courtney Duran,Advocate,BA,"litigation, legal research, contracts, law, drafting",10.6
Latasha Finley,Business Analyst,BTECH,"sql, analytics, requirement gathering",9.1
Victoria Scott,ETL Developer,BE,,11.7
Kimberly Adams,Sales,MBA,"negotiation, lead generation, cold calling, crm",5.3
Jonathan Horne,Blockchain,BE,"kubernetes, ansible, jenkins, docker",13.6
Mr. Lucas Huang,Electrical Engineer,BTECH,"electronics, matlab, vlsi",3.8
Taylor Jones,Sales,MBA,"negotiation, crm, cold calling",10.2
Bernard Nelson,Network Security Engineer,BTECH,"cybersecurity, security, networking, vpn",3.5
Kevin Mendoza,Hadoop,BTECH,"hive, spark, pig, mapreduce",8.2
Angel Alexander,Civil Engineer,BE,"estimation, structural analysis, autocad, construction",11.1
Brian Harrison,Business Analyst,BTECH,"analytics, sql, requirement gathering, power bi, excel",8.6
Erica Daniels,SAP Developer,BTECH,"fiori, sap hana, erp",9.6
Jill Jones,DotNet Developer,BTECH,".net, entity framework, c#",14.1
Bryan Diaz,Arts,BA,"sociology, painting, psychology, history",14.7
Christopher Michael,Network Security Engineer,BE,"cybersecurity, firewall, vpn, networking, security",0.2
Harold Brown,Engineer,BE,"c, matlab, control systems",9.2
Brandon Hughes,Health and fitness,BE,"microservices, spring, java, rest api",3.3
Heidi Lutz,HR,BA,"communication, ms excel, interviewing, recruitment, employee relations",5.5
Eduardo Miller,Web Designing,BTECH,"bootstrap, css, javascript, html, figma",
Erica Cox,Java Developer,BTECH,"rest api, java, hibernate, microservices",6.8
Adam Mason,HR,MBA,"interviewing, employee relations, recruitment, ms excel, communication",7.6
Thomas Ramsey,Engineer,BTECH,"embedded systems, matlab, c++, c",10.8
Diane Hernandez,Network Security Engineer,BTECH,"vpn, firewall, security",4.1
Elizabeth Baker,Engineer,BE,"c, c++, embedded systems, control systems, matlab",7.0
Nathan Duran,Engineer,BTECH,"c++, matlab, control systems, c",12.3
Dr. Jeffrey Franklin,Operations Manager,BA,"training, fitness coaching, anatomy",5.1
Sara Sparks,PMO,MBA,"agile, scrum, ms project, jira, project management",7.0
Martha Chavez,Electrical Engineer,BTECH,"vlsi, signal processing, matlab",11.0
Steven Rodriguez,DotNet Developer,BE,".net, entity framework, asp.net",8.5
Alison Espinoza,Blockchain,BTECH,", smart contracts, web3.js",6.7
Alison Terry,Data Scientist,BTECH,"data mining, ml, deep learning, statistics, python",9.9
Richard Rivera,Database,BE,"sql, mongodb, dbms, oracle, postgresql",11.0
Yvonne Gould,Civil Engineer,BE,"structural analysis, staad pro, autocad, construction, estimation",2.0
Anthony Hoffman,Business Analyst,BTECH,"excel, requirement gathering, power bi",6.2
Tammy Jarvis,Advocate,PHD,"litigation, contracts, drafting, law",3.3
Pamela Glass,Blockchain,BTECH,"smart contracts, solidity, ",3.2
Dawn Wells,DotNet Developer,BE,".net, c#, asp.net, entity framework",6.1
Michelle Russo,Advocate,BA,"legal research, drafting, litigation, contracts, law",13.1
Tammy Sanchez,Data Scientist,PHD,"data mining, ml, statistics, python",0.7
William Villa,PMO,MBA,"scrum, project management, jira, ms project",6.3
Madison Knapp,Network Security Engineer,BE,"security, firewall, vpn, cybersecurity",7.1
Benjamin Cannon,Java Developer,BTECH,"rest api, java, spring, hibernate",9.0
Cheryl May,Business Analyst,MBA,"power bi, analytics, sql, excel, requirement gathering",14.1
Alyssa Smith,Data Scientist,BTECH,"ml, statistics, data mining, python",8.2
